label,text
0,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs
0,Court Orders Obama To Pay $400 Million In Restitution
0,UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -
0,Oscar Pistorius Attempts To Commit Suicide
0,Trump Votes For Death Penalty For Being Gay
0,Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!
0,New York Man Wanted For Infecting 240 Men And Women With HIV!!!
0,Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian
0,Malia Obama Fired From Cushy Internship At Spanish Embassy
0,Target to Discontinue Sale of Holy Bible
0,Youngest World Leader Bans George Soros’s Foundations From Austria
0,BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’
0,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died"
0,President Trump Underscores US-Jamaica Relations
0,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y
0,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”
0,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’"
0,Black Men Arrested In Philadelphia Starbucks Settle For $2 Million
0,ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail
0,Former presidents walk fine line in Trump’s America
0,"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'"
0,BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline
0,"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend"
0,BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump
0,Clinton Campaign official arrested by FBI on child rape/trafficking charges
0,"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump"
0,"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”"
0,Biden raises possibility of 2020 presidential bid
0,"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -"
0,Snapchat is shutting down!
0,Rice told investigators why she unmasked Trump aides
0,BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -
0,Clinton Email: We Must Destroy Syria For Israel
0,CNN host Fareed Zakaria calls for jihad rape of white women
0,Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement
0,UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced
0,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire
